"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 186.932798451379, 39.8744715459169, 186.932798451379, 191.138286635435, 25.0988579521738, 1.79768467953209, 25.0988579521738
2, 186.235874755355, 39.6444418641718, 186.932798451379, 191.138286635435, 25.0938323437036, 1.76694715527001, 25.0988579521738
3, 321.566147611757, 86.7415006966753, 321.566147611757, 333.05986734066, 25.2364690512037, 2.39823972459768, 25.2364690512037
4, 423.580233828844, 119.929192644844, 423.580233828844, 440.230877766363, 25.4000065057741, 3.18566923444329, 25.4000065057741
5, 598.55794522563, 179.699776682028, 598.55794522563, 624.950896896947, 25.668922996965, 4.31751495930925, 25.668922996965
6, 374.727239995482, 101.992390959248, 598.55794522563, 624.950896896947, 25.3058907351714, 2.80895571611291, 25.668922996965
7, 690.312094760416, 211.443962653294, 690.312094760416, 721.969069638749, 26.1044311331504, 6.21498081974136, 26.1044311331504
8, 619.306427260415, 185.475373978921, 690.312094760416, 721.969069638749, 25.7065315972767, 4.47688443437919, 26.1044311331504
9, 166.492576281158, 49.5316303758463, 690.312094760416, 721.969069638749, 25.1313544937154, 1.93425611262021, 26.1044311331504
10, 3019.3688932187, 1116.24124301849, 3019.3688932187, 3219.09661643639, 41.5050518643503, 72.182808770513, 41.5050518643503
11, 4845.01304899381, 1845.22641660214, 4845.01304899381, 5184.49727297128, 62.8664812405508, 162.546533860826, 62.8664812405508
12, 5190.16470265783, 2036.5320287005, 5190.16470265783, 5575.41678663024, 70.9848418776789, 197.721079271214, 70.9848418776789
13, 5365.08311422272, 2109.91282950539, 5365.08311422272, 5765.05411688643, 73.4609144719047, 207.555474853885, 73.4609144719047
14, 4915.54894277292, 1954.5349897893, 5365.08311422272, 5765.05411688643, 66.6224739045062, 178.271131581145, 73.4609144719047
15, 4714.02366036448, 1851.78170894029, 5365.08311422272, 5765.05411688643, 63.3069791621288, 162.882227310436, 73.4609144719047
