"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 1.0266985514689, 0, 1.03999959606686, ball_gym, sourcebus, 0, 1.01788511489277, 0, 1.02684754013483, parking_g2n_2_lv, carmichael_hall_2_lv
2, 0, 1.02670108191266, 0, 1.03999959793344, ball_gym, sourcebus, 0, 1.01788643790579, 0, 1.02684837647446, parking_g2n_2_lv, carmichael_hall_2_lv
3, 0, 1.02637904826047, 0, 1.03999922058266, woodworth_complex, sourcebus, 0, 1.01767616708045, 0, 1.02669858508796, parking_g2n_2_lv, carmichael_hall_2_lv
4, 0, 1.02610999177674, 0, 1.03999894680609, woodworth_complex, sourcebus, 0, 1.01752303186146, 0, 1.02659298549227, parking_g2n_2_lv, carmichael_hall_2_lv
5, 0, 1.02573401878509, 0, 1.03999846406138, woodworth_complex, sourcebus, 0, 1.01725361223196, 0, 1.02640319444636, parking_g2n_2_lv, carmichael_hall_2_lv
6, 0, 1.02627992768218, 0, 1.03999909330714, student_center, sourcebus, 0, 1.01760429695159, 0, 1.02665531893193, parking_g2n_2_lv, carmichael_hall_2_lv
7, 0, 1.02547340593379, 0, 1.0399982091234, woodworth_complex, sourcebus, 0, 1.01705513920076, 0, 1.02630225642364, parking_g2n_2_lv, carmichael_hall_2_lv
8, 0, 1.02569968717716, 0, 1.03999841277225, woodworth_complex, sourcebus, 0, 1.01722547201288, 0, 1.02638581341621, parking_g2n_2_lv, carmichael_hall_2_lv
9, 0, 1.02664471492016, 0, 1.0399995875736, ball_gym, sourcebus, 0, 1.01787396440021, 0, 1.02749959059608, parking_g2n_2_lv, emens_structure_lv
10, 0, 1.02036507703788, 0, 1.03999134397705, dehority_complex, sourcebus, 0, 1.01172995337572, 0, 1.023547460684, student_recreation_lv, carmichael_hall_2_lv
11, 0, 1.01640345529397, 0, 1.03998586343326, west_quadrangle_building, sourcebus, 0, 1.0052527726626, 0, 1.01933122052713, student_recreation_lv, emens_structure_lv
12, 0, 1.0154577340715, 0, 1.0399846200212, west_quadrangle_building, sourcebus, 0, 1.00270661836643, 0, 1.02019857903868, woodworth_complex_lv, emens_structure_lv
13, 0, 1.0149020715184, 0, 1.03998406783936, woodworth_complex, sourcebus, 0, 1.00209463043209, 0, 1.01947756902855, woodworth_complex_lv, emens_structure_lv
14, 0, 1.01594866339418, 0, 1.03998534835779, west_quadrangle_building, sourcebus, 0, 1.00293150180273, 0, 1.02135643380069, mckinley_structure_lv, emens_structure_lv
15, 0, 1.01639689337901, 0, 1.03998602410898, west_quadrangle_building, sourcebus, 0, 1.00422613844124, 0, 1.02102703373311, library_lv, emens_structure_lv
16, 0, 1.0147043878706, 0, 1.03998385244984, woodworth_complex, sourcebus, 0, 1.00339603931599, 0, 1.01867600396173, studebaker_east_lv, johnson_dr_parking_entarnce_lv
17, 0, 1.0256382377265, 0, 1.03999818029776, dehority_complex, sourcebus, 0, 1.01710736603743, 0, 1.02713457360853, parking_g2n_2_lv, emens_structure_lv
18, 0, 1.02668719158093, 0, 1.03999958817552, ball_gym, sourcebus, 0, 1.01788088390719, 0, 1.02684489334871, parking_g2n_2_lv, carmichael_hall_2_lv
19, 0, 1.02667886955766, 0, 1.03999957237796, ball_gym, sourcebus, 0, 1.01787116869446, 0, 1.02683892917079, parking_g2n_2_lv, carmichael_hall_2_lv
20, 0, 1.02667971278526, 0, 1.03999957184886, ball_gym, sourcebus, 0, 1.01787080210254, 0, 1.02683886567083, parking_g2n_2_lv, carmichael_hall_2_lv
21, 0, 1.02670522191577, 0, 1.03999961504727, ball_gym, sourcebus, 0, 1.01789706981115, 0, 1.02685429837148, parking_g2n_2_lv, carmichael_hall_2_lv
22, 0, 1.02670241050577, 0, 1.03999960701313, ball_gym, sourcebus, 0, 1.01789279367158, 0, 1.02685141164991, parking_g2n_2_lv, carmichael_hall_2_lv
23, 0, 1.02669505403419, 0, 1.0399995923401, ball_gym, sourcebus, 0, 1.0178833681109, 0, 1.02684621957522, parking_g2n_2_lv, carmichael_hall_2_lv
24, 0, 1.02670260043865, 0, 1.03999960405036, ball_gym, sourcebus, 0, 1.01788987900057, 0, 1.02685044505255, parking_g2n_2_lv, carmichael_hall_2_lv
25, 0, 1.02668574439179, 0, 1.03999960420192, ball_gym, sourcebus, 0, 1.01789232860104, 0, 1.02684967114205, parking_g2n_2_lv, carmichael_hall_2_lv
26, 0, 1.02667363770298, 0, 1.03999958250437, ball_gym, sourcebus, 0, 1.01787807191827, 0, 1.0268418934537, parking_g2n_2_lv, carmichael_hall_2_lv
27, 0, 1.02665574755525, 0, 1.03999957114006, ball_gym, sourcebus, 0, 1.01787304727394, 0, 1.02683721230112, parking_g2n_2_lv, carmichael_hall_2_lv
28, 0, 1.02658939663635, 0, 1.03999953076571, ball_gym, sourcebus, 0, 1.01784996848405, 0, 1.02682091516767, parking_g2n_2_lv, carmichael_hall_2_lv
29, 0, 1.0265995056343, 0, 1.03999952464196, ball_gym, sourcebus, 0, 1.01784578084996, 0, 1.02681998079795, parking_g2n_2_lv, carmichael_hall_2_lv
30, 0, 1.02647558244793, 0, 1.03999934253863, ball_gym, sourcebus, 0, 1.01774488983604, 0, 1.02674699962637, parking_g2n_2_lv, carmichael_hall_2_lv
31, 0, 1.01022673510404, 0, 1.03997804044497, woodworth_complex, sourcebus, 0, 0.99608965993925, 0, 1.01783613106288, library_lv, johnson_dr_parking_entarnce_lv
32, 0, 1.01029964299466, 0, 1.03997816547052, woodworth_complex, sourcebus, 0, 0.996191102818141, 0, 1.01891868083743, library_lv, johnson_dr_parking_entarnce_lv
33, 0, 1.01008824055057, 0, 1.03997781492291, woodworth_complex, sourcebus, 0, 0.996375723147125, 0, 1.01877296888743, studebaker_east_lv, johnson_dr_parking_entarnce_lv
34, 0, 1.01030596416435, 0, 1.03997804792111, west_quadrangle_building, sourcebus, 0, 0.996392635885429, 0, 1.01879070082434, studebaker_east_lv, johnson_dr_parking_entarnce_lv
35, 0, 1.01023491306905, 0, 1.03997803897879, west_quadrangle_building, sourcebus, 0, 0.996018284357502, 0, 1.01873452171457, student_recreation_lv, johnson_dr_parking_entarnce_lv
36, 0, 1.0099553175604, 0, 1.03997776149496, west_quadrangle_building, sourcebus, 0, 0.995123965112999, 0, 1.01857168973948, student_recreation_lv, johnson_dr_parking_entarnce_lv
37, 0, 1.01032804650436, 0, 1.03997821988524, west_quadrangle_building, sourcebus, 0, 0.996123653924031, 0, 1.01872991559488, student_recreation_lv, johnson_dr_parking_entarnce_lv
38, 0, 1.00901634075998, 0, 1.03997649934381, west_quadrangle_building, sourcebus, 0, 0.993190046753982, 0, 1.01810817795742, student_recreation_lv, johnson_dr_parking_entarnce_lv
39, 0, 1.00876369606167, 0, 1.03997615880593, west_quadrangle_building, sourcebus, 0, 0.99270507089926, 0, 1.01799452506933, student_recreation_lv, johnson_dr_parking_entarnce_lv
40, 0, 1.00857820520349, 0, 1.03997586675614, west_quadrangle_building, sourcebus, 0, 0.992379243736342, 0, 1.0179385946113, student_recreation_lv, johnson_dr_parking_entarnce_lv
41, 0, 1.00826469732814, 0, 1.03997534309615, west_quadrangle_building, sourcebus, 0, 0.991800401526791, 0, 1.01780655100138, studebaker_east_lv, johnson_dr_parking_entarnce_lv
42, 0, 1.00897530643146, 0, 1.03997638388603, woodworth_complex, sourcebus, 0, 0.993752727261174, 0, 1.01825383488742, studebaker_east_lv, johnson_dr_parking_entarnce_lv
43, 0, 1.01006282575129, 0, 1.03997785305373, woodworth_complex, sourcebus, 0, 0.996226499161315, 0, 1.01880340001766, studebaker_east_lv, johnson_dr_parking_entarnce_lv
44, 0, 1.01007693052886, 0, 1.03997787420781, woodworth_complex, sourcebus, 0, 0.996247017564662, 0, 1.01881114164627, studebaker_east_lv, johnson_dr_parking_entarnce_lv
45, 0, 1.01252045859979, 0, 1.03998140472469, woodworth_complex, sourcebus, 0, 0.999494125013622, 0, 1.01881813363453, studebaker_east_lv, johnson_dr_parking_end_lv
46, 0, 1.01062020337102, 0, 1.0399786579454, woodworth_complex, sourcebus, 0, 0.997139455420507, 0, 1.0188325541596, studebaker_east_lv, johnson_dr_parking_entarnce_lv
47, 0, 1.0267464190717, 0, 1.03999962429706, tessis_courts_2, sourcebus, 0, 1.01789971683352, 0, 1.02685926932552, parking_g2n_2_lv, carmichael_hall_2_lv
48, 0, 1.02478126550335, 0, 1.03999737409357, ball_gym, sourcebus, 0, 1.01664171794688, 0, 1.025979501045, parking_g2n_2_lv, carmichael_hall_2_lv
49, 0, 1.0241816499209, 0, 1.0399964728962, dehority_complex, sourcebus, 0, 1.0161964205597, 0, 1.02562736380987, parking_g2n_2_lv, carmichael_hall_2_lv
50, 0, 1.02640305350199, 0, 1.03999942036195, ball_gym, sourcebus, 0, 1.01779176707779, 0, 1.02677696148532, parking_g2n_2_lv, carmichael_hall_2_lv
51, 0, 1.02449428326566, 0, 1.03999680726782, ball_gym, sourcebus, 0, 1.01633401054201, 0, 1.02575626902998, parking_g2n_2_lv, carmichael_hall_2_lv
52, 0, 1.02500215814547, 0, 1.03999738857422, park_hall, sourcebus, 0, 1.01669963465305, 0, 1.02598298756966, parking_g2n_2_lv, carmichael_hall_2_lv
53, 0, 1.02465084181449, 0, 1.03999724716572, ball_gym, sourcebus, 0, 1.01658848864407, 0, 1.02593079469843, parking_g2n_2_lv, carmichael_hall_2_lv
54, 0, 1.0252388202573, 0, 1.03999783024301, tessis_courts_2, sourcebus, 0, 1.01690105093751, 0, 1.02615705140954, parking_g2n_2_lv, carmichael_hall_2_lv
55, 0, 1.01140581362682, 0, 1.03997941870578, woodworth_complex, sourcebus, 0, 0.997569601908578, 0, 1.018467246318, library_lv, johnson_dr_parking_entarnce_lv
56, 0, 1.01049914252846, 0, 1.0399784593908, woodworth_complex, sourcebus, 0, 0.997058211564695, 0, 1.01902868935264, library_lv, johnson_dr_parking_entarnce_lv
57, 0, 1.00858215138495, 0, 1.03997583018137, woodworth_complex, sourcebus, 0, 0.992841943071931, 0, 1.01802860343788, studebaker_east_lv, johnson_dr_parking_entarnce_lv
58, 0, 1.00859680004395, 0, 1.0399757379204, west_quadrangle_building, sourcebus, 0, 0.992429658588671, 0, 1.01793041232088, studebaker_east_lv, johnson_dr_parking_entarnce_lv
59, 0, 1.00839711021802, 0, 1.03997554756727, west_quadrangle_building, sourcebus, 0, 0.99181220041214, 0, 1.01779707006068, studebaker_east_lv, johnson_dr_parking_entarnce_lv
60, 0, 1.0076375611936, 0, 1.03997456215525, west_quadrangle_building, sourcebus, 0, 0.990434033444348, 0, 1.01739890114894, studebaker_east_lv, johnson_dr_parking_entarnce_lv
61, 0, 1.00822822600166, 0, 1.03997534211764, west_quadrangle_building, sourcebus, 0, 0.991756062371867, 0, 1.01766533687499, studebaker_east_lv, johnson_dr_parking_entarnce_lv
62, 0, 1.00623846290983, 0, 1.03997265365342, west_quadrangle_building, sourcebus, 0, 0.987900855169008, 0, 1.01666618368383, studebaker_east_lv, johnson_dr_parking_entarnce_lv
63, 0, 1.00598991898679, 0, 1.03997228859435, west_quadrangle_building, sourcebus, 0, 0.987413310537125, 0, 1.0165656356191, studebaker_east_lv, johnson_dr_parking_entarnce_lv
64, 0, 1.00602696763829, 0, 1.03997228161217, west_quadrangle_building, sourcebus, 0, 0.987413089618077, 0, 1.01661378768684, studebaker_east_lv, johnson_dr_parking_entarnce_lv
65, 0, 1.00598887347286, 0, 1.0399722961873, woodworth_complex, sourcebus, 0, 0.987515530544288, 0, 1.01667571250348, studebaker_east_lv, johnson_dr_parking_entarnce_lv
66, 0, 1.00729327155478, 0, 1.03997414353959, woodworth_complex, sourcebus, 0, 0.990523448258705, 0, 1.01741355052966, studebaker_east_lv, johnson_dr_parking_entarnce_lv
67, 0, 1.00900610238517, 0, 1.03997645368809, woodworth_complex, sourcebus, 0, 0.993928042342221, 0, 1.01827949358277, studebaker_east_lv, johnson_dr_parking_entarnce_lv
68, 0, 1.00911261536982, 0, 1.03997660092833, woodworth_complex, sourcebus, 0, 0.994126725088993, 0, 1.01833443821655, studebaker_east_lv, johnson_dr_parking_entarnce_lv
69, 0, 1.01127527434223, 0, 1.03997957281934, woodworth_complex, sourcebus, 0, 0.997511199367119, 0, 1.01878194487958, studebaker_east_lv, johnson_dr_parking_end_lv
70, 0, 1.01156717332642, 0, 1.03998010274253, woodworth_complex, sourcebus, 0, 0.997840080324816, 0, 1.01863225388063, studebaker_east_lv, johnson_dr_parking_entarnce_lv
71, 0, 1.02660317139218, 0, 1.03999947835691, ball_gym, sourcebus, 0, 1.01781810997652, 0, 1.02680246777439, parking_g2n_2_lv, carmichael_hall_2_lv
72, 0, 1.02036102482484, 0, 1.0399914989976, dehority_complex, sourcebus, 0, 1.01062213309198, 0, 1.02367581196569, studebaker_east_lv, carmichael_hall_2_lv
73, 0, 1.02475022352993, 0, 1.03999705949094, student_center, sourcebus, 0, 1.0165212352192, 0, 1.02576842070544, parking_g2n_2_lv, schmidt_wilson_hall_2_lv
74, 0, 1.02335218668742, 0, 1.03999534731358, dehority_complex, sourcebus, 0, 1.01558123070268, 0, 1.02518853260219, parking_g2n_2_lv, carmichael_hall_2_lv
75, 0, 1.02380165120271, 0, 1.03999583752159, woodworth_complex, sourcebus, 0, 1.01586314237805, 0, 1.02537600425485, parking_g2n_2_lv, carmichael_hall_2_lv
76, 0, 1.0241488987993, 0, 1.03999658502081, ball_gym, sourcebus, 0, 1.01613417062701, 0, 1.02566996543451, studebaker_east_lv, carmichael_hall_2_lv
77, 0, 1.02382872158963, 0, 1.03999581985128, dehority_complex, sourcebus, 0, 1.01584496387768, 0, 1.0253707888778, parking_g2n_2_lv, carmichael_hall_2_lv
78, 0, 1.02272268338141, 0, 1.03999464420068, ball_gym, sourcebus, 0, 1.01279812902591, 0, 1.02490666598416, student_recreation_lv, carmichael_hall_2_lv
79, 0, 1.01087136297037, 0, 1.03997889211384, woodworth_complex, sourcebus, 0, 0.997168946883857, 0, 1.01827901668021, studebaker_east_lv, johnson_dr_parking_entarnce_lv
80, 0, 1.01052550661344, 0, 1.03997849530583, woodworth_complex, sourcebus, 0, 0.997225530815242, 0, 1.01904220021071, library_lv, johnson_dr_parking_entarnce_lv
81, 0, 1.00776109294021, 0, 1.03997472426225, woodworth_complex, sourcebus, 0, 0.991340231804497, 0, 1.01761490093475, studebaker_east_lv, johnson_dr_parking_entarnce_lv
82, 0, 1.00729376030653, 0, 1.03997401844982, woodworth_complex, sourcebus, 0, 0.990127846144448, 0, 1.01730538367314, studebaker_east_lv, johnson_dr_parking_entarnce_lv
83, 0, 1.00659640706258, 0, 1.03997306310149, west_quadrangle_building, sourcebus, 0, 0.988783195193542, 0, 1.01689042382132, studebaker_east_lv, johnson_dr_parking_entarnce_lv
84, 0, 1.00604407615508, 0, 1.03997235841863, west_quadrangle_building, sourcebus, 0, 0.987749498402579, 0, 1.01656571679434, studebaker_east_lv, johnson_dr_parking_entarnce_lv
85, 0, 1.00719045158497, 0, 1.03997392997767, west_quadrangle_building, sourcebus, 0, 0.990038308865107, 0, 1.01714551745953, studebaker_east_lv, johnson_dr_parking_entarnce_lv
86, 0, 1.00531941387901, 0, 1.039971389082, west_quadrangle_building, sourcebus, 0, 0.986383056067896, 0, 1.01619389046651, studebaker_east_lv, johnson_dr_parking_entarnce_lv
87, 0, 1.00528172501866, 0, 1.03997129499421, west_quadrangle_building, sourcebus, 0, 0.98624721653576, 0, 1.01619758315405, studebaker_east_lv, johnson_dr_parking_entarnce_lv
88, 0, 1.00545260357477, 0, 1.03997147458064, west_quadrangle_building, sourcebus, 0, 0.986447294293405, 0, 1.01630356926148, studebaker_east_lv, johnson_dr_parking_entarnce_lv
89, 0, 1.00533068047998, 0, 1.03997139702152, woodworth_complex, sourcebus, 0, 0.986385503298637, 0, 1.01632818737771, studebaker_east_lv, johnson_dr_parking_entarnce_lv
90, 0, 1.00676202742791, 0, 1.03997343895731, woodworth_complex, sourcebus, 0, 0.989595486155175, 0, 1.0171490721273, studebaker_east_lv, johnson_dr_parking_entarnce_lv
91, 0, 1.0085930442948, 0, 1.03997590405304, woodworth_complex, sourcebus, 0, 0.993234445127026, 0, 1.01807360784691, studebaker_east_lv, johnson_dr_parking_entarnce_lv
92, 0, 1.00872348167736, 0, 1.03997608057961, woodworth_complex, sourcebus, 0, 0.993479509309051, 0, 1.01813967824027, studebaker_east_lv, johnson_dr_parking_entarnce_lv
93, 0, 1.01052369241917, 0, 1.03997845696013, woodworth_complex, sourcebus, 0, 0.996568978588542, 0, 1.01776448876753, studebaker_east_lv, johnson_dr_parking_entarnce_lv
94, 0, 1.01147289650022, 0, 1.03997982201565, woodworth_complex, sourcebus, 0, 0.997365912498124, 0, 1.01922750076097, studebaker_east_lv, johnson_dr_parking_entarnce_lv
95, 0, 1.02621715915195, 0, 1.03999903831215, ball_gym, sourcebus, 0, 1.01757208780848, 0, 1.02663095589465, parking_g2n_2_lv, carmichael_hall_2_lv
96, 0, 1.02013362769122, 0, 1.03999098352815, woodworth_complex, sourcebus, 0, 1.01188561809724, 0, 1.02347879513302, dehority_complex_lv, carmichael_hall_2_lv
97, 0, 1.02368925479867, 0, 1.03999561491639, library, sourcebus, 0, 1.01573762454836, 0, 1.0251633875813, parking_g2n_2_lv, schmidt_wilson_hall_2_lv
98, 0, 1.02305563289913, 0, 1.03999478459033, dehority_complex, sourcebus, 0, 1.01529309894333, 0, 1.02496570303651, parking_g2n_2_lv, carmichael_hall_2_lv
99, 0, 1.02272988340471, 0, 1.03999459442717, ball_gym, sourcebus, 0, 1.01514746388999, 0, 1.02489387489019, parking_g2n_2_lv, carmichael_hall_2_lv
100, 0, 1.02270163005118, 0, 1.0399941296329, woodworth_complex, sourcebus, 0, 1.01500280660794, 0, 1.02387331573064, parking_g2n_2_lv, worthen_arena_lv
101, 0, 1.0238433574204, 0, 1.03999610169078, ball_gym, sourcebus, 0, 1.01595689276535, 0, 1.02548265964707, parking_g2n_2_lv, carmichael_hall_2_lv
102, 0, 1.02374793414811, 0, 1.03999596276623, woodworth_complex, sourcebus, 0, 1.01585971219415, 0, 1.02542528299613, parking_g2n_2_lv, carmichael_hall_2_lv
103, 0, 1.01095671243513, 0, 1.0399790997918, woodworth_complex, sourcebus, 0, 0.997772229713831, 0, 1.01901983818602, library_lv, johnson_dr_parking_entarnce_lv
104, 0, 1.01051803415489, 0, 1.03997848592948, woodworth_complex, sourcebus, 0, 0.997217945395846, 0, 1.01903866467618, library_lv, johnson_dr_parking_entarnce_lv
105, 0, 1.00759018804108, 0, 1.03997450698472, woodworth_complex, sourcebus, 0, 0.990963460801045, 0, 1.01753335104185, studebaker_east_lv, johnson_dr_parking_entarnce_lv
106, 0, 1.00718892413667, 0, 1.03997385020248, woodworth_complex, sourcebus, 0, 0.989810350200079, 0, 1.01722536443217, studebaker_east_lv, johnson_dr_parking_entarnce_lv
107, 0, 1.00652048394025, 0, 1.0399729523693, west_quadrangle_building, sourcebus, 0, 0.988565517800126, 0, 1.01683096310686, studebaker_east_lv, johnson_dr_parking_entarnce_lv
108, 0, 1.00590993165632, 0, 1.03997214379172, west_quadrangle_building, sourcebus, 0, 0.987491662276444, 0, 1.01650109674471, studebaker_east_lv, johnson_dr_parking_entarnce_lv
109, 0, 1.00713726959833, 0, 1.0399738219977, west_quadrangle_building, sourcebus, 0, 0.989888898264981, 0, 1.0171139772267, studebaker_east_lv, johnson_dr_parking_entarnce_lv
110, 0, 1.00526250104949, 0, 1.03997127145514, west_quadrangle_building, sourcebus, 0, 0.986266581784271, 0, 1.01617186811555, studebaker_east_lv, johnson_dr_parking_entarnce_lv
111, 0, 1.00518359219844, 0, 1.03997114705239, west_quadrangle_building, sourcebus, 0, 0.98604852759475, 0, 1.01614178760329, studebaker_east_lv, johnson_dr_parking_entarnce_lv
112, 0, 1.0051425303271, 0, 1.03997107387612, woodworth_complex, sourcebus, 0, 0.985962251102021, 0, 1.01616964497649, studebaker_east_lv, johnson_dr_parking_entarnce_lv
113, 0, 1.00515011094932, 0, 1.03997117435375, woodworth_complex, sourcebus, 0, 0.986121711995103, 0, 1.01625342730506, studebaker_east_lv, johnson_dr_parking_entarnce_lv
114, 0, 1.00665313569231, 0, 1.03997329363068, woodworth_complex, sourcebus, 0, 0.989406499778165, 0, 1.01709449490898, studebaker_east_lv, johnson_dr_parking_entarnce_lv
115, 0, 1.00851660033942, 0, 1.03997580300295, woodworth_complex, sourcebus, 0, 0.99308001186319, 0, 1.01803567227297, studebaker_east_lv, johnson_dr_parking_entarnce_lv
116, 0, 1.00865333046903, 0, 1.03997598756367, woodworth_complex, sourcebus, 0, 0.993335171581353, 0, 1.0181047686401, studebaker_east_lv, johnson_dr_parking_entarnce_lv
117, 0, 1.01062715430879, 0, 1.03997870202328, woodworth_complex, sourcebus, 0, 0.996621334210605, 0, 1.01785804781726, studebaker_east_lv, johnson_dr_parking_entarnce_lv
118, 0, 1.01246956538638, 0, 1.03998134370297, woodworth_complex, sourcebus, 0, 0.99777425460671, 0, 1.0198055750234, studebaker_east_lv, johnson_dr_parking_entarnce_lv
119, 0, 1.02625873881223, 0, 1.03999902476228, ball_gym, sourcebus, 0, 1.01756446174802, 0, 1.02662553639065, parking_g2n_2_lv, carmichael_hall_2_lv
120, 0, 1.02044996303455, 0, 1.03999150464836, dehority_complex, sourcebus, 0, 1.01279700206353, 0, 1.02368336016768, park_hall_lv, carmichael_hall_2_lv
121, 0, 1.02229674041256, 0, 1.03999406441182, woodworth_complex, sourcebus, 0, 1.01489261446731, 0, 1.0237638721469, parking_g2n_2_lv, worthen_arena_lv
122, 0, 1.02386779657229, 0, 1.0399962048399, dehority_complex, sourcebus, 0, 1.01606314198892, 0, 1.02552054096251, parking_g2n_2_lv, carmichael_hall_2_lv
123, 0, 1.02326247871201, 0, 1.03999520084798, ball_gym, sourcebus, 0, 1.01547169371088, 0, 1.02513121753618, parking_g2n_2_lv, carmichael_hall_2_lv
124, 0, 1.02253612341704, 0, 1.03999434727193, dehority_complex, sourcebus, 0, 1.01505803386847, 0, 1.02441337852889, parking_g2n_2_lv, johnson_complex_lv
125, 0, 1.02368542663081, 0, 1.03999560546007, woodworth_complex, sourcebus, 0, 1.01572859723185, 0, 1.02459226960509, parking_g2n_2_lv, worthen_arena_lv
126, 0, 1.02209576928832, 0, 1.03999372367964, woodworth_complex, sourcebus, 0, 1.01468878763941, 0, 1.02455062851466, parking_g2n_2_lv, carmichael_hall_2_lv
127, 0, 1.0121794295337, 0, 1.03998054477402, woodworth_complex, sourcebus, 0, 0.998919922751012, 0, 1.01881312993657, library_lv, johnson_dr_parking_end_lv
128, 0, 1.01050700027875, 0, 1.03997847171682, woodworth_complex, sourcebus, 0, 0.997206763148695, 0, 1.01903320846081, library_lv, johnson_dr_parking_entarnce_lv
129, 0, 1.0075976163516, 0, 1.03997450758916, woodworth_complex, sourcebus, 0, 0.991159242647211, 0, 1.01753377673133, studebaker_east_lv, johnson_dr_parking_entarnce_lv
130, 0, 1.00754963420941, 0, 1.03997432247729, woodworth_complex, sourcebus, 0, 0.99059372610639, 0, 1.01740811660667, studebaker_east_lv, johnson_dr_parking_entarnce_lv
131, 0, 1.00714712787761, 0, 1.03997379384247, west_quadrangle_building, sourcebus, 0, 0.989645588345437, 0, 1.01716248713194, studebaker_east_lv, johnson_dr_parking_entarnce_lv
132, 0, 1.00638092435608, 0, 1.03997279071737, west_quadrangle_building, sourcebus, 0, 0.988291178211472, 0, 1.01672389556679, studebaker_east_lv, johnson_dr_parking_entarnce_lv
133, 0, 1.00749104624671, 0, 1.03997430667865, west_quadrangle_building, sourcebus, 0, 0.99053495022529, 0, 1.01729299547644, studebaker_east_lv, johnson_dr_parking_entarnce_lv
134, 0, 1.00567772793139, 0, 1.03997184502961, west_quadrangle_building, sourcebus, 0, 0.986979294240217, 0, 1.01637242258702, studebaker_east_lv, johnson_dr_parking_entarnce_lv
135, 0, 1.0053296677136, 0, 1.03997135038714, west_quadrangle_building, sourcebus, 0, 0.98630923826892, 0, 1.01621011269324, studebaker_east_lv, johnson_dr_parking_entarnce_lv
136, 0, 1.00535882592675, 0, 1.03997133283821, west_quadrangle_building, sourcebus, 0, 0.986272927538189, 0, 1.01625132182906, studebaker_east_lv, johnson_dr_parking_entarnce_lv
137, 0, 1.00526032790403, 0, 1.03997130897624, woodworth_complex, sourcebus, 0, 0.986310136719176, 0, 1.01629864196407, studebaker_east_lv, johnson_dr_parking_entarnce_lv
138, 0, 1.00669914763079, 0, 1.03997335359732, woodworth_complex, sourcebus, 0, 0.989531443408102, 0, 1.01711690976016, studebaker_east_lv, johnson_dr_parking_entarnce_lv
139, 0, 1.00854889536384, 0, 1.03997584523878, woodworth_complex, sourcebus, 0, 0.993163732211406, 0, 1.018051440695, studebaker_east_lv, johnson_dr_parking_entarnce_lv
140, 0, 1.00870518052842, 0, 1.03997606010072, woodworth_complex, sourcebus, 0, 0.993437628494358, 0, 1.01813176235909, studebaker_east_lv, johnson_dr_parking_entarnce_lv
