hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 404.822, 17.8158, 404.822, 17.8158, 404.822, 17.8158
0, 1800.00000, 404.796, 17.8157, 404.796, 17.8157, 404.796, 17.8157
0, 2700.00000, 76.127, 10.2401, 76.127, 10.2401, 76.127, 10.2401
1, 0.00000, 76.1283, 10.2389, 76.1283, 10.2389, 76.1283, 10.2389
1, 900.00000, 76.1283, 10.2389, 76.1283, 10.2389, 76.1283, 10.2389
1, 1800.00000, 75.2489, 10.221, 75.2489, 10.221, 75.2489, 10.221
1, 2700.00000, 75.2498, 10.2219, 75.2498, 10.2219, 75.2498, 10.2219
2, 0.00000, 75.2498, 10.2219, 75.2498, 10.2219, 75.2498, 10.2219
2, 900.00000, 75.2498, 10.2219, 75.2498, 10.2219, 75.2498, 10.2219
2, 1800.00000, 75.2498, 10.2219, 75.2498, 10.2219, 75.2498, 10.2219
2, 2700.00000, 74.7853, 10.2123, 74.7853, 10.2123, 74.7853, 10.2123
3, 0.00000, 74.7858, 10.2129, 74.7858, 10.2129, 74.7858, 10.2129
3, 900.00000, 74.7858, 10.2129, 74.7858, 10.2129, 74.7858, 10.2129
3, 1800.00000, 72.9102, 10.1664, 72.9102, 10.1664, 72.9102, 10.1664
3, 2700.00000, 72.9119, 10.1683, 72.9119, 10.1683, 72.9119, 10.1683
4, 0.00000, 72.9119, 10.1683, 72.9119, 10.1683, 72.9119, 10.1683
4, 900.00000, 72.9119, 10.1683, 72.9119, 10.1683, 72.9119, 10.1683
4, 1800.00000, 72.9119, 10.1683, 72.9119, 10.1683, 72.9119, 10.1683
4, 2700.00000, 71.7879, 10.1381, 71.7879, 10.1381, 71.7879, 10.1381
5, 0.00000, 71.7889, 10.1393, 71.7889, 10.1393, 71.7889, 10.1393
5, 900.00000, 71.7889, 10.1393, 71.7889, 10.1393, 71.7889, 10.1393
5, 1800.00000, 72.5909, 10.1531, 72.5909, 10.1531, 72.5909, 10.1531
5, 2700.00000, 72.5901, 10.1523, 72.5901, 10.1523, 72.5901, 10.1523
6, 0.00000, 72.5901, 10.1523, 72.5901, 10.1523, 72.5901, 10.1523
6, 900.00000, 72.5901, 10.1523, 72.5901, 10.1523, 72.5901, 10.1523
6, 1800.00000, 72.5901, 10.1523, 72.5901, 10.1523, 72.5901, 10.1523
6, 2700.00000, 72.2364, 10.1387, 72.2364, 10.1387, 72.2364, 10.1387
7, 0.00000, 72.2367, 10.1392, 72.2367, 10.1392, 72.2367, 10.1392
7, 900.00000, 72.2367, 10.1392, 72.2367, 10.1392, 72.2367, 10.1392
7, 1800.00000, 72.6691, 10.1515, 72.6691, 10.1515, 72.6691, 10.1515
7, 2700.00000, 72.6688, 10.1512, 72.6688, 10.1512, 72.6688, 10.1512
8, 0.00000, 72.6687, 10.1512, 72.6687, 10.1512, 72.6687, 10.1512
8, 900.00000, 72.6687, 10.1512, 72.6687, 10.1512, 72.6687, 10.1512
8, 1800.00000, 72.6687, 10.1512, 72.6687, 10.1512, 72.6687, 10.1512
8, 2700.00000, 114.336, 13.3367, 114.336, 13.3367, 114.336, 13.3367
9, 0.00000, 114.309, 13.3049, 114.309, 13.3049, 114.309, 13.305
9, 900.00000, 114.309, 13.305, 114.309, 13.305, 114.309, 13.305
9, 1800.00000, 114.395, 13.3018, 114.395, 13.3018, 114.395, 13.3018
9, 2700.00000, 114.395, 13.3018, 114.395, 13.3018, 114.395, 13.3018
10, 0.00000, 114.395, 13.3018, 114.395, 13.3018, 114.395, 13.3018
10, 900.00000, 114.395, 13.3018, 114.395, 13.3018, 114.395, 13.3018
10, 1800.00000, 114.395, 13.3018, 114.395, 13.3018, 114.395, 13.3018
10, 2700.00000, 111.621, 13.3346, 111.621, 13.3346, 111.621, 13.3346
11, 0.00000, 111.624, 13.3363, 111.624, 13.3363, 111.624, 13.3363
11, 900.00000, 111.624, 13.3363, 111.624, 13.3363, 111.624, 13.3363
11, 1800.00000, 120.063, 13.7169, 120.063, 13.7169, 120.063, 13.7169
11, 2700.00000, 120.056, 13.7109, 120.056, 13.7109, 120.056, 13.7109
12, 0.00000, 120.056, 13.7109, 120.056, 13.7109, 120.056, 13.7109
12, 900.00000, 120.056, 13.7109, 120.056, 13.7109, 120.056, 13.7109
12, 1800.00000, 120.056, 13.7109, 120.056, 13.7109, 120.056, 13.7109
12, 2700.00000, 80.4027, 11.1432, 80.4027, 11.1432, 80.4027, 11.1432
13, 0.00000, 80.4071, 11.1434, 80.4071, 11.1434, 80.4071, 11.1434
13, 900.00000, 80.4071, 11.1434, 80.4071, 11.1434, 80.4071, 11.1434
13, 1800.00000, 120.217, 13.6891, 120.217, 13.6891, 120.217, 13.6891
13, 2700.00000, 120.189, 13.6599, 120.189, 13.6599, 120.189, 13.6599
14, 0.00000, 120.189, 13.6599, 120.189, 13.6599, 120.189, 13.6599
14, 900.00000, 120.189, 13.6599, 120.189, 13.6599, 120.189, 13.6599
14, 1800.00000, 120.189, 13.6599, 120.189, 13.6599, 120.189, 13.6599
14, 2700.00000, 164.631, 15.01, 164.631, 15.01, 164.631, 15.01
15, 0.00000, 164.611, 14.9905, 164.611, 14.9905, 164.611, 14.9905
15, 900.00000, 164.611, 14.9906, 164.611, 14.9906, 164.611, 14.9906
15, 1800.00000, 155.781, 14.7817, 155.781, 14.7817, 155.781, 14.7817
15, 2700.00000, 155.787, 14.786, 155.787, 14.786, 155.787, 14.786
16, 0.00000, 155.787, 14.786, 155.787, 14.786, 155.787, 14.786
16, 900.00000, 155.787, 14.786, 155.787, 14.786, 155.787, 14.786
16, 1800.00000, 155.787, 14.786, 155.787, 14.786, 155.787, 14.786
16, 2700.00000, 158.445, 14.9096, 158.445, 14.9096, 158.445, 14.9096
17, 0.00000, 158.444, 14.9081, 158.444, 14.9081, 158.444, 14.9081
17, 900.00000, 158.444, 14.9081, 158.444, 14.9081, 158.444, 14.9081
17, 1800.00000, 177.661, 15.322, 177.661, 15.322, 177.661, 15.322
17, 2700.00000, 177.647, 15.3104, 177.647, 15.3104, 177.647, 15.3104
18, 0.00000, 177.647, 15.3104, 177.647, 15.3104, 177.647, 15.3104
18, 900.00000, 177.647, 15.3104, 177.647, 15.3104, 177.647, 15.3104
18, 1800.00000, 177.647, 15.3104, 177.647, 15.3104, 177.647, 15.3104
18, 2700.00000, 134.042, 14.1979, 134.042, 14.1979, 134.042, 14.1979
19, 0.00000, 134.074, 14.2235, 134.074, 14.2235, 134.074, 14.2235
19, 900.00000, 134.074, 14.2234, 134.074, 14.2234, 134.074, 14.2234
19, 1800.00000, 217.501, 16.0634, 217.501, 16.0634, 217.501, 16.0634
19, 2700.00000, 217.488, 16.0413, 217.488, 16.0413, 217.488, 16.0413
20, 0.00000, 217.488, 16.0413, 217.488, 16.0413, 217.488, 16.0413
20, 900.00000, 217.488, 16.0413, 217.488, 16.0413, 217.488, 16.0413
20, 1800.00000, 217.488, 16.0413, 217.488, 16.0413, 217.488, 16.0413
20, 2700.00000, 209.678, 15.9022, 209.678, 15.9022, 209.678, 15.9022
21, 0.00000, 209.681, 15.9045, 209.681, 15.9045, 209.681, 15.9045
21, 900.00000, 209.681, 15.9045, 209.681, 15.9045, 209.681, 15.9045
21, 1800.00000, 162.016, 14.9556, 162.016, 14.9556, 162.016, 14.9556
21, 2700.00000, 162.023, 14.9557, 162.023, 14.9557, 162.023, 14.9557
22, 0.00000, 162.023, 14.9557, 162.023, 14.9557, 162.023, 14.9557
22, 900.00000, 162.023, 14.9557, 162.023, 14.9557, 162.023, 14.9557
22, 1800.00000, 162.023, 14.9557, 162.023, 14.9557, 162.023, 14.9557
22, 2700.00000, 164.336, 14.9848, 164.336, 14.9848, 164.336, 14.9848
23, 0.00000, 164.335, 14.9838, 164.335, 14.9838, 164.335, 14.9838
23, 900.00000, 164.335, 14.9838, 164.335, 14.9838, 164.335, 14.9838
23, 1800.00000, 138.544, 14.1332, 138.544, 14.1332, 138.544, 14.1332
23, 2700.00000, 138.56, 14.142, 138.56, 14.142, 138.56, 14.142
24, 0.00000, 138.56, 14.142, 138.56, 14.142, 138.56, 14.142
24, 900.00000, 138.56, 14.142, 138.56, 14.142, 138.56, 14.142
24, 1800.00000, 138.56, 14.142, 138.56, 14.142, 138.56, 14.142
24, 2700.00000, 219.806, 16.0165, 219.806, 16.0165, 219.806, 16.0165
25, 0.00000, 219.796, 15.9952, 219.796, 15.9952, 219.796, 15.9952
25, 900.00000, 219.796, 15.9952, 219.796, 15.9952, 219.796, 15.9952
25, 1800.00000, 210.729, 15.8783, 210.729, 15.8783, 210.729, 15.8783
25, 2700.00000, 210.733, 15.8808, 210.733, 15.8808, 210.733, 15.8808
26, 0.00000, 210.733, 15.8808, 210.733, 15.8808, 210.733, 15.8808
26, 900.00000, 210.733, 15.8808, 210.733, 15.8808, 210.733, 15.8808
26, 1800.00000, 210.733, 15.8808, 210.733, 15.8808, 210.733, 15.8808
26, 2700.00000, 303.586, 16.9678, 303.586, 16.9678, 303.586, 16.9678
27, 0.00000, 303.584, 16.9676, 303.584, 16.9676, 303.584, 16.9676
27, 900.00000, 303.584, 16.9676, 303.584, 16.9676, 303.584, 16.9676
27, 1800.00000, 249.903, 16.4545, 249.903, 16.4545, 249.903, 16.4545
27, 2700.00000, 249.909, 16.4547, 249.909, 16.4547, 249.909, 16.4547
28, 0.00000, 249.909, 16.4547, 249.909, 16.4547, 249.909, 16.4547
28, 900.00000, 249.909, 16.4547, 249.909, 16.4547, 249.909, 16.4547
28, 1800.00000, 249.909, 16.4547, 249.909, 16.4547, 249.909, 16.4547
28, 2700.00000, 225.83, 16.1153, 225.83, 16.1153, 225.83, 16.1153
29, 0.00000, 225.83, 16.118, 225.83, 16.118, 225.83, 16.118
29, 900.00000, 225.83, 16.118, 225.83, 16.118, 225.83, 16.118
29, 1800.00000, 307.836, 17.0074, 307.836, 17.0074, 307.836, 17.0074
29, 2700.00000, 307.834, 17.0072, 307.834, 17.0072, 307.834, 17.0072
30, 0.00000, 307.834, 17.0072, 307.834, 17.0072, 307.834, 17.0072
30, 900.00000, 307.834, 17.0072, 307.834, 17.0072, 307.834, 17.0072
30, 1800.00000, 307.834, 17.0072, 307.834, 17.0072, 307.834, 17.0072
30, 2700.00000, 219.235, 16.0302, 219.235, 16.0302, 219.235, 16.0302
31, 0.00000, 219.243, 16.0304, 219.243, 16.0304, 219.243, 16.0304
31, 900.00000, 219.243, 16.0304, 219.243, 16.0304, 219.243, 16.0304
31, 1800.00000, 224.792, 16.1348, 224.792, 16.1348, 224.792, 16.1348
31, 2700.00000, 224.791, 16.1333, 224.791, 16.1333, 224.791, 16.1333
32, 0.00000, 224.791, 16.1333, 224.791, 16.1333, 224.791, 16.1333
32, 900.00000, 224.791, 16.1333, 224.791, 16.1333, 224.791, 16.1333
32, 1800.00000, 224.791, 16.1333, 224.791, 16.1333, 224.791, 16.1333
32, 2700.00000, 170.536, 15.2058, 170.536, 15.2058, 170.536, 15.2058
33, 0.00000, 170.542, 15.2059, 170.542, 15.2059, 170.542, 15.2059
33, 900.00000, 170.542, 15.2059, 170.542, 15.2059, 170.542, 15.2059
