hour, t(sec), P1 (kW), Q1 (kvar)
0, 900.00000, 197.048, 41.946
0, 1800.00000, 194.145, 41.3974
0, 2700.00000, 192.465, 41.1125
1, 0.00000, 186.946, 39.8646
1, 900.00000, 183.641, 39.1228
1, 1800.00000, 186.003, 39.6146
1, 2700.00000, 184.964, 39.354
2, 0.00000, 186.235, 39.6487
2, 900.00000, 305.439, 79.7592
2, 1800.00000, 305.698, 79.804
2, 2700.00000, 297.538, 77.9648
3, 0.00000, 321.606, 85.9361
3, 900.00000, 208.313, 47.6119
3, 1800.00000, 322.058, 85.7159
3, 2700.00000, 448.716, 127.628
4, 0.00000, 423.587, 119.346
4, 900.00000, 431.021, 122.226
4, 1800.00000, 485.686, 140.258
4, 2700.00000, 361.584, 99.1353
5, 0.00000, 598.58, 178.609
5, 900.00000, 576.528, 170.998
5, 1800.00000, 441.298, 125.366
5, 2700.00000, 447.937, 127.365
6, 0.00000, 374.805, 102.065
6, 900.00000, 605.393, 180.096
6, 1800.00000, 579.639, 171.632
6, 2700.00000, 842.197, 261.051
7, 0.00000, 690.482, 209.867
7, 900.00000, 622.441, 186.566
7, 1800.00000, 854.188, 265.182
7, 2700.00000, 603.692, 179.974
8, 0.00000, 619.32, 185.491
8, 900.00000, 465.391, 133.858
8, 1800.00000, 246.746, 60.0292
8, 2700.00000, 229.17, 54.1253
9, 0.00000, 217.119, 49.6664
9, 900.00000, 552.299, 161.963
9, 1800.00000, 1591.21, 519.34
9, 2700.00000, 2477.01, 835.159
10, 0.00000, 3261.41, 1120.63
10, 900.00000, 3321.23, 1137.76
10, 1800.00000, 3639.98, 1255.22
10, 2700.00000, 4385.77, 1534.9
11, 0.00000, 5228.22, 1857.07
11, 900.00000, 4790.38, 1691.06
11, 1800.00000, 4712.68, 1657.73
11, 2700.00000, 5586.11, 1998.92
12, 0.00000, 5712, 2051.7
12, 900.00000, 6312.82, 2285.85
12, 1800.00000, 5354.63, 1908.84
12, 2700.00000, 5347.97, 1905.22
13, 0.00000, 5905.12, 2124.86
13, 900.00000, 6100.59, 2201.64
13, 1800.00000, 6512.32, 2362.02
13, 2700.00000, 5410.54, 1927.66
14, 0.00000, 5520.89, 1970.54
14, 900.00000, 5912.78, 2126.83
14, 1800.00000, 5942.23, 2142.34
14, 2700.00000, 6334.15, 2293.87
15, 0.00000, 5243.76, 1865.88
15, 900.00000, 4920.73, 1742.83
15, 1800.00000, 5646.83, 2024.49
15, 2700.00000, 5790.2, 2080.79
16, 0.00000, 5871.02, 2108.42
16, 900.00000, 4675.92, 1648.3
16, 1800.00000, 2904.96, 986.066
16, 2700.00000, 1539.59, 499.839
17, 0.00000, 779.389, 238.177
17, 900.00000, 237.233, 56.7612
17, 1800.00000, 201.601, 45.2202
17, 2700.00000, 202.025, 45.284
18, 0.00000, 189.965, 40.8857
18, 900.00000, 193.45, 41.6632
18, 1800.00000, 196.252, 42.3078
18, 2700.00000, 196.411, 42.3456
19, 0.00000, 196.835, 42.4553
19, 900.00000, 197.414, 42.5735
19, 1800.00000, 196.831, 42.4274
19, 2700.00000, 197.991, 42.6673
20, 0.00000, 197.264, 42.4803
20, 900.00000, 192.207, 41.3346
20, 1800.00000, 186.493, 40.0184
20, 2700.00000, 179.402, 38.4244
21, 0.00000, 178.01, 38.0913
21, 900.00000, 180.703, 38.6505
21, 1800.00000, 185.088, 39.6186
21, 2700.00000, 186.102, 39.8147
22, 0.00000, 181.706, 38.8211
22, 900.00000, 180.955, 38.6387
22, 1800.00000, 183.553, 39.2191
22, 2700.00000, 185.52, 39.6243
23, 0.00000, 188.433, 40.276
23, 900.00000, 183.658, 39.1981
23, 1800.00000, 185.844, 39.6797
23, 2700.00000, 183.933, 39.2475
24, 0.00000, 183.328, 39.0776
24, 900.00000, 187.088, 40.4581
24, 1800.00000, 183.835, 40.1202
24, 2700.00000, 181.791, 39.563
25, 0.00000, 181.427, 39.4912
25, 900.00000, 188.551, 41.1213
25, 1800.00000, 186.868, 40.7503
25, 2700.00000, 189.417, 41.3259
26, 0.00000, 191.112, 41.707
26, 900.00000, 189.204, 41.2836
26, 1800.00000, 194.445, 42.4194
26, 2700.00000, 191.755, 41.8116
27, 0.00000, 194.386, 43.3376
27, 900.00000, 195.37, 44.0209
27, 1800.00000, 214.299, 50.6461
27, 2700.00000, 212.114, 50.0626
28, 0.00000, 208.639, 48.3649
28, 900.00000, 226.567, 53.6018
28, 1800.00000, 211.785, 48.1756
28, 2700.00000, 213.219, 48.4668
29, 0.00000, 213.474, 48.5429
29, 900.00000, 193.936, 42.4424
29, 1800.00000, 276.56, 70.0572
29, 2700.00000, 270.962, 68.5588
30, 0.00000, 277.647, 71.1204
30, 900.00000, 9659.99, 3702.66
30, 1800.00000, 7800, 2900.1
30, 2700.00000, 7604.77, 2820.45
31, 0.00000, 7583.03, 2811.26
31, 900.00000, 7547.44, 2802.78
31, 1800.00000, 7542.67, 2800.75
