hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 186.933, 39.8745
2, 0.00000, 186.236, 39.6444
3, 0.00000, 321.566, 86.7415
4, 0.00000, 423.58, 119.929
5, 0.00000, 598.558, 179.7
6, 0.00000, 374.727, 101.992
7, 0.00000, 690.312, 211.444
8, 0.00000, 619.306, 185.475
9, 0.00000, 166.493, 49.5316
10, 0.00000, 3019.37, 1116.24
11, 0.00000, 4845.01, 1845.23
12, 0.00000, 5190.16, 2036.53
13, 0.00000, 5365.08, 2109.91
14, 0.00000, 4915.55, 1954.54
15, 0.00000, 4714.02, 1851.78
16, 0.00000, 5550, 2096.22
17, 0.00000, 639.553, 238.117
18, 0.00000, 189.78, 40.8313
19, 0.00000, 196.836, 42.4749
20, 0.00000, 197.264, 42.4801
21, 0.00000, 178.003, 38.0307
22, 0.00000, 181.707, 38.8307
23, 0.00000, 188.435, 40.295
24, 0.00000, 183.326, 39.0597
25, 0.00000, 181.42, 39.5047
26, 0.00000, 191.114, 41.7344
27, 0.00000, 194.381, 43.3533
28, 0.00000, 208.632, 48.4491
29, 0.00000, 213.48, 48.5477
30, 0.00000, 277.64, 71.5631
31, 0.00000, 7582.97, 2812.4
32, 0.00000, 7534.81, 2797.45
33, 0.00000, 7629.31, 2853.11
34, 0.00000, 7459.57, 2861.76
35, 0.00000, 7388.63, 2893.04
36, 0.00000, 7394.11, 2963.56
37, 0.00000, 7227.47, 2909.59
38, 0.00000, 7811.25, 3128.42
39, 0.00000, 7939.37, 3166.55
40, 0.00000, 8106.69, 3175.73
41, 0.00000, 8360.51, 3209.92
42, 0.00000, 8107.62, 3036.18
43, 0.00000, 7638.15, 2838.58
44, 0.00000, 7631.08, 2835.82
45, 0.00000, 6492.05, 2363.65
46, 0.00000, 7376.04, 2731.6
47, 0.00000, 178.055, 36.0447
48, 0.00000, 995.104, 314.229
49, 0.00000, 1319.1, 426.438
50, 0.00000, 245.471, 62.8954
51, 0.00000, 1195.65, 385.622
52, 0.00000, 983.46, 314.03
53, 0.00000, 1042.3, 329.635
54, 0.00000, 827.68, 258.267
55, 0.00000, 7141.45, 2627.28
56, 0.00000, 7440.66, 2757.98
57, 0.00000, 8259.58, 3121.22
58, 0.00000, 8202.8, 3170.38
59, 0.00000, 8177.65, 3231.53
60, 0.00000, 8449.69, 3381.51
61, 0.00000, 8166.8, 3290.51
62, 0.00000, 9027.33, 3650.97
63, 0.00000, 9191.3, 3680.09
64, 0.00000, 9261.9, 3651.96
65, 0.00000, 9332.34, 3617.37
66, 0.00000, 8814.04, 3339.86
67, 0.00000, 8084.41, 3027.01
68, 0.00000, 8037.18, 3007.26
69, 0.00000, 7083.69, 2608.49
70, 0.00000, 6913.84, 2537.05
71, 0.00000, 231.893, 53.874
72, 0.00000, 3070.25, 1055.08
73, 0.00000, 1108.07, 353.403
74, 0.00000, 1725.24, 566.231
75, 0.00000, 1540.03, 507.433
76, 0.00000, 1275.35, 413.315
77, 0.00000, 1550.19, 508.687
78, 0.00000, 1960.32, 658.214
79, 0.00000, 7308.63, 2698.34
80, 0.00000, 7429.25, 2753.13
81, 0.00000, 8610.23, 3270.52
82, 0.00000, 8772.22, 3392.31
83, 0.00000, 8995.76, 3554.93
84, 0.00000, 9134.18, 3685.53
85, 0.00000, 8627.35, 3476.92
86, 0.00000, 9425.65, 3822.63
87, 0.00000, 9507.72, 3813.29
88, 0.00000, 9503.46, 3766.55
89, 0.00000, 9598.63, 3746.08
90, 0.00000, 9034.57, 3435.77
91, 0.00000, 8258.85, 3101.23
92, 0.00000, 8202.72, 3077.42
93, 0.00000, 7445.81, 2757.19
94, 0.00000, 6996.41, 2576.91
95, 0.00000, 393.395, 107.845
96, 0.00000, 3260.78, 1117.98
97, 0.00000, 1629.13, 532.841
98, 0.00000, 1918.81, 638.489
99, 0.00000, 1992.95, 660.705
100, 0.00000, 2157.05, 719.356
101, 0.00000, 1452.01, 472.761
102, 0.00000, 1495.91, 491.604
103, 0.00000, 7241.53, 2670.62
104, 0.00000, 7432.21, 2754.4
105, 0.00000, 8678.34, 3300.02
106, 0.00000, 8802.21, 3424.93
107, 0.00000, 9005.99, 3580.28
108, 0.00000, 9223.04, 3705.79
109, 0.00000, 8673.77, 3486.54
110, 0.00000, 9492.46, 3826.13
111, 0.00000, 9553.38, 3833.7
112, 0.00000, 9649.96, 3811.9
113, 0.00000, 9679.32, 3771.43
114, 0.00000, 9079.94, 3455.58
115, 0.00000, 8290.71, 3114.93
116, 0.00000, 8232.09, 3090.02
117, 0.00000, 7370.69, 2723.43
118, 0.00000, 6495.45, 2375.9
119, 0.00000, 398.017, 109.593
120, 0.00000, 3080.01, 1051.44
121, 0.00000, 2182.92, 726.831
122, 0.00000, 1409.38, 461.326
123, 0.00000, 1777.35, 584.605
124, 0.00000, 2072.14, 693.896
125, 0.00000, 1634.41, 533.596
126, 0.00000, 2295.75, 771.699
127, 0.00000, 6773.44, 2477.83
128, 0.00000, 7436.59, 2756.36
129, 0.00000, 8678.46, 3299.84
130, 0.00000, 8661.27, 3357.54
131, 0.00000, 8763.06, 3456.58
132, 0.00000, 8992.88, 3628.83
133, 0.00000, 8516.85, 3422.2
134, 0.00000, 9293.33, 3756.05
135, 0.00000, 9479.09, 3810.43
136, 0.00000, 9548.62, 3785.39
137, 0.00000, 9630.47, 3756.09
138, 0.00000, 9061.01, 3447.46
139, 0.00000, 8277.22, 3109.25
140, 0.00000, 8208.68, 3080.32
141, 0.00000, 7471.27, 2766.05
142, 0.00000, 6813.94, 2501.68
143, 0.00000, 393.61, 108.134
144, 0.00000, 3093.07, 1057.08
145, 0.00000, 1635.73, 539.506
146, 0.00000, 1764.94, 580.009
147, 0.00000, 1003.65, 316.912
148, 0.00000, 689.686, 210.064
149, 0.00000, 2209.82, 739.72
150, 0.00000, 849.855, 267.225
151, 0.00000, 7559.38, 2802.57
152, 0.00000, 6408.37, 2328.39
153, 0.00000, 7475.88, 2794.71
154, 0.00000, 7247.9, 2787.36
155, 0.00000, 7092.65, 2789.71
156, 0.00000, 6975.22, 2795.65
157, 0.00000, 6954, 2802.3
158, 0.00000, 6965.52, 2810.36
159, 0.00000, 6847.04, 2729.76
160, 0.00000, 7024.69, 2727.6
161, 0.00000, 7160.77, 2708.73
162, 0.00000, 6020.32, 2181.36
163, 0.00000, 168.709, 32.935
164, 0.00000, 193.038, 41.0014
165, 0.00000, 192.009, 40.5198
166, 0.00000, 752.93, 230.437
167, 0.00000, 369.058, 100.711
168, 0.00000, 365.537, 100.733
169, 0.00000, 591.736, 179.548
170, 0.00000, 507.24, 147.591
171, 0.00000, 386.951, 108.493
172, 0.00000, 394.765, 109.57
173, 0.00000, 528.861, 154.573
174, 0.00000, 511.554, 149.695
175, 0.00000, 507.341, 147.214
176, 0.00000, 645.8, 195.186
177, 0.00000, 540.843, 179.387
178, 0.00000, 1967.33, 737.448
179, 0.00000, 3918.13, 1491.09
180, 0.00000, 3971.27, 1579.83
181, 0.00000, 3528.31, 1425.8
182, 0.00000, 3112.66, 1276.27
183, 0.00000, 3349.4, 1329.8
184, 0.00000, 2962.61, 1149.03
185, 0.00000, 392.945, 169.103
186, 0.00000, 188.65, 40.2764
187, 0.00000, 191.902, 40.9222
188, 0.00000, 216.884, 50.8007
189, 0.00000, 276.513, 70.5023
190, 0.00000, 345.362, 93.941
191, 0.00000, 353.149, 96.3039
192, 0.00000, 177.674, 37.4468
193, 0.00000, 922.744, 290.753
194, 0.00000, 525.164, 154.006
195, 0.00000, 226.997, 53.7131
196, 0.00000, 623.163, 190.255
197, 0.00000, 877.051, 276.209
198, 0.00000, 501.916, 145.305
199, 0.00000, 7621.91, 2828.31
200, 0.00000, 7585.37, 2819.82
201, 0.00000, 7976.03, 3001.25
202, 0.00000, 8003.21, 3096.94
203, 0.00000, 8246.4, 3258.37
204, 0.00000, 8501.57, 3413.15
205, 0.00000, 8063.39, 3270.11
206, 0.00000, 8831.77, 3612.8
207, 0.00000, 8895.84, 3637.29
208, 0.00000, 9023.64, 3600.57
209, 0.00000, 9086.56, 3543.44
210, 0.00000, 8659.93, 3272.67
211, 0.00000, 7918.1, 2957.11
212, 0.00000, 7891.95, 2946.2
213, 0.00000, 7141.87, 2632.25
214, 0.00000, 6503.46, 2375.72
215, 0.00000, 178.588, 36.2049
216, 0.00000, 2275.51, 761.992
217, 0.00000, 1227.4, 391.407
218, 0.00000, 1284.67, 421.135
219, 0.00000, 1932.77, 637.086
220, 0.00000, 746.338, 232.351
221, 0.00000, 1544.46, 504.699
222, 0.00000, 1566.92, 509.896
223, 0.00000, 6948.05, 2550.78
224, 0.00000, 7422.58, 2750.44
225, 0.00000, 8577.06, 3256.7
226, 0.00000, 8753.88, 3388.78
227, 0.00000, 8991.73, 3563.68
228, 0.00000, 9205.78, 3727.66
229, 0.00000, 8738.31, 3545.13
230, 0.00000, 9577.24, 3902.79
231, 0.00000, 9677.37, 3910.79
232, 0.00000, 9701.73, 3861.89
233, 0.00000, 9677.13, 3783.02
234, 0.00000, 9052.32, 3443.02
235, 0.00000, 8270.92, 3106.02
236, 0.00000, 8202.38, 3077.18
237, 0.00000, 7095.78, 2613.14
238, 0.00000, 7088.79, 2615.31
239, 0.00000, 368.952, 99.6222
240, 0.00000, 3041.79, 1037.66
241, 0.00000, 1624.52, 535.039
242, 0.00000, 1720.2, 565.398
243, 0.00000, 2028.4, 677.031
244, 0.00000, 2139.41, 718.657
245, 0.00000, 1819.36, 604.837
246, 0.00000, 1679.55, 560.236
247, 0.00000, 7129.17, 2623.45
248, 0.00000, 7437.09, 2756.16
249, 0.00000, 8724.16, 3315.69
250, 0.00000, 8886.18, 3445.6
251, 0.00000, 9200.21, 3621.99
252, 0.00000, 9506.33, 3784.44
253, 0.00000, 9021.65, 3595.91
254, 0.00000, 9874.29, 3968.4
255, 0.00000, 9946.68, 3975.67
256, 0.00000, 9890.46, 3916.51
257, 0.00000, 9800.8, 3828.07
258, 0.00000, 9126.61, 3475.4
259, 0.00000, 8317.15, 3125.82
260, 0.00000, 8254.05, 3099.01
261, 0.00000, 7574.62, 2808.19
262, 0.00000, 6715.56, 2462.93
263, 0.00000, 402.126, 110.968
264, 0.00000, 2930.1, 996.596
265, 0.00000, 1900.04, 628.453
266, 0.00000, 1941.79, 644.461
267, 0.00000, 1235.38, 394.158
268, 0.00000, 2413.22, 811.869
269, 0.00000, 1704.11, 559.621
270, 0.00000, 1532.81, 504.518
271, 0.00000, 7116.78, 2614.45
272, 0.00000, 7443, 2758.65
273, 0.00000, 8745.06, 3329.84
274, 0.00000, 8894.14, 3460.59
275, 0.00000, 9140.55, 3627.01
276, 0.00000, 9360.69, 3781.19
277, 0.00000, 8812.77, 3588.71
278, 0.00000, 9717.43, 3956.29
279, 0.00000, 9836.75, 3983.75
280, 0.00000, 9892.44, 3940.61
281, 0.00000, 9833.64, 3856.26
282, 0.00000, 9178.22, 3497.83
283, 0.00000, 8365.75, 3146.25
284, 0.00000, 8305.73, 3120.69
285, 0.00000, 7594.9, 2817.32
286, 0.00000, 6748.67, 2474.29
287, 0.00000, 409.314, 113.406
288, 0.00000, 3080.29, 1051.13
289, 0.00000, 1956.95, 647.122
290, 0.00000, 1708.58, 565.411
291, 0.00000, 1776.45, 584.096
292, 0.00000, 2323.99, 779.499
293, 0.00000, 1789.66, 589.787
294, 0.00000, 1605.82, 530.317
295, 0.00000, 7343.98, 2712.92
296, 0.00000, 7440.22, 2757.5
297, 0.00000, 8730.51, 3322.6
298, 0.00000, 8921.05, 3462.53
299, 0.00000, 9140.65, 3623.24
300, 0.00000, 9382.73, 3777.78
301, 0.00000, 8819.23, 3574.3
302, 0.00000, 9730.62, 3957.83
303, 0.00000, 9928.97, 4003.54
304, 0.00000, 9955.21, 3962.13
305, 0.00000, 9887.41, 3873.85
306, 0.00000, 9181.04, 3499.09
307, 0.00000, 8367.07, 3146.95
308, 0.00000, 8310.02, 3122.57
309, 0.00000, 7034.42, 2586.16
310, 0.00000, 7156.96, 2640.49
311, 0.00000, 436.869, 122.583
312, 0.00000, 3296.34, 1130.3
313, 0.00000, 1451.35, 474.111
314, 0.00000, 1948.87, 646.669
315, 0.00000, 962.78, 303.334
316, 0.00000, 1974.33, 661.92
317, 0.00000, 1020.64, 321.78
318, 0.00000, 1144.62, 365.87
319, 0.00000, 7300.23, 2692.43
320, 0.00000, 6389.5, 2324.38
321, 0.00000, 7515.15, 2806.53
322, 0.00000, 7351.29, 2814.45
323, 0.00000, 7302.9, 2833.26
324, 0.00000, 7220.38, 2853.2
